Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	eu_pd_year	Pageviews	IMSLP_URL	IMSLP_Exists
Paul McCartney	1942		English	Liverpool Oratorio;Standing Stone;Ecce Cor Meum	member ofThe BeatlesandWings	https://en.wikipedia.org/wiki/Paul_McCartney		4172133.0	https://imslp.org/wiki/Category:McCartney%2C_Paul	False
Paul Hindemith	1895	1963.0	German	Symphonic Metamorphosis of Themes by Carl Maria von Weber;Mathis der Maler;Ludus Tonalis	neoclassicism,Expressionism	https://en.wikipedia.org/wiki/Paul_Hindemith	2034.0	2247605.0	https://imslp.org/wiki/Category:Hindemith%2C_Paul	True
John Williams	1932		American	also composer of film scores,The Five Sacred Trees		https://en.wikipedia.org/wiki/John_Williams		1867046.0	https://imslp.org/wiki/Category:Williams%2C_John	True
Frank Zappa	1940	1993.0	American	Lumpy Gravy;200 Motels;London Symphony Orchestra , Vol. I;London Symphony Orchestra, Vol. II;The Perfect Stranger;The Yellow Shark		https://en.wikipedia.org/wiki/Frank_Zappa	2064.0	1665902.0	https://imslp.org/wiki/Category:Zappa%2C_Frank	False
Brian Eno	1948		English		ambient music,minimalism	https://en.wikipedia.org/wiki/Brian_Eno		1259855.0	https://imslp.org/wiki/Category:Eno%2C_Brian	False
Ennio Morricone	1928	2020.0	Italian		also a composer of film music:Once Upon a Time in America;The Mission;The Good, the Bad and the Ugly;A Fistful of Dollars;Once Upon a Time in the West	https://en.wikipedia.org/wiki/Ennio_Morricone	2091.0	684747.0	https://imslp.org/wiki/Category:Morricone%2C_Ennio	False
Leonard Bernstein	1918	1990.0	American	West Side Story;Chichester Psalms;Candide;Serenade;Mass	"jazz-influenced and pop-influence; also a composer of popular songs, under pseudonym ""Lenny Amber"""	https://en.wikipedia.org/wiki/Leonard_Bernstein	2061.0	677446.0	https://imslp.org/wiki/Category:Bernstein%2C_Leonard	True
Ilaiyaraaja	1943		Indian	How to Name It?; Nothing but wind; Thiruvasagam -An Oratorio; The Music Messiah; India 24 hours;	Indian Classical (Carnatic), Western classical, Fusion, Jazz, Indian folk	https://en.wikipedia.org/wiki/Ilaiyaraaja		663243.0	https://imslp.org/wiki/Category:Ilaiyaraaja	False
Duke Ellington	1899	1974.0	American			https://en.wikipedia.org/wiki/Duke_Ellington	2045.0	623250.0	https://imslp.org/wiki/Category:Ellington%2C_Duke	True
Sergei Rachmaninoff	1873	1943.0	Russian	Piano Concerto No. 2andNo. 3;Rhapsody on a Theme of Paganini;Symphony No. 2;Prelude in C-sharp minor	Romanticism,post-romanticism	https://en.wikipedia.org/wiki/Sergei_Rachmaninoff	2014.0	601738.0	https://imslp.org/wiki/Category:Rachmaninoff%2C_Sergei	True
Ludovico Einaudi	1955		Italian		minimalism	https://en.wikipedia.org/wiki/Ludovico_Einaudi		583727.0	https://imslp.org/wiki/Category:Einaudi%2C_Ludovico	False
Dmitri Shostakovich	1906	1975.0	Russian	15 symphonies, includingNo. 5,No. 7,No. 9,No. 10, andNo. 11;Violin Concerto No. 1;Cello Concerto No. 1;Festive Overture; 15 string quartets, includingString Quartet No. 8;Piano Quintet;The Gadfly Suite	modernism,neoclassical,neoromantic,polystylism	https://en.wikipedia.org/wiki/Dmitri_Shostakovich	2046.0	581781.0	https://imslp.org/wiki/Category:Shostakovich%2C_Dmitri	True
Claude Debussy	1862	1918.0	French	Clair de lune;Syrinx;La mer;Pelléas et Mélisande;Préludes	impressionism	https://en.wikipedia.org/wiki/Claude_Debussy	1989.0	580759.0	https://imslp.org/wiki/Category:Debussy%2C_Claude	True
Erik Satie	1866	1925.0	French	Gymnopédies;Relâche;Socrate	minimalism,avant-garde,furniture music	https://en.wikipedia.org/wiki/Erik_Satie	1996.0	576702.0	https://imslp.org/wiki/Category:Satie%2C_Erik	True
George Gershwin	1898	1937.0	American	Rhapsody in Blue;Piano Concerto;An American in Paris;Porgy and Bess	jazz-influenced; also a composer of popular songs	https://en.wikipedia.org/wiki/George_Gershwin	2008.0	520919.0	https://imslp.org/wiki/Category:Gershwin%2C_George	True
John Cage	1912	1992.0	American	"4'33"";Sonatas and Interludes"	Aleatoric music,extended technique,prepared piano	https://en.wikipedia.org/wiki/John_Cage	2063.0	519902.0	https://imslp.org/wiki/Category:Cage%2C_John	True
Gustav Mahler	1860	1911.0	Austrian	No. 5,No. 6,No. 9,No. 10 in F;Das Lied von der Erde;Kindertotenlieder	Romanticism;modernism	https://en.wikipedia.org/wiki/Gustav_Mahler	1982.0	512150.0	https://imslp.org/wiki/Category:Mahler%2C_Gustav	True
George Martin	1926	2016.0	English			https://en.wikipedia.org/wiki/George_Martin	2087.0	508852.0	https://imslp.org/wiki/Category:Martin%2C_George	False
John Cale	1942		Welsh			https://en.wikipedia.org/wiki/John_Cale		505344.0	https://imslp.org/wiki/Category:Cale%2C_John	False
Wendy Carlos	1939		American	Switched-On Bach(record album of transcriptions, produced with the use of aMoog synthesizer)	Electronic music (original and transcriptions)	https://en.wikipedia.org/wiki/Wendy_Carlos		492251.0	https://imslp.org/wiki/Category:Carlos%2C_Wendy	False
Ryuichi Sakamoto	1952	2023.0	Japanese			https://en.wikipedia.org/wiki/Ryuichi_Sakamoto	2094.0	480945.0	https://imslp.org/wiki/Category:Sakamoto%2C_Ryuichi	False
Jean-Michel Jarre	1948		French			https://en.wikipedia.org/wiki/Jean-Michel_Jarre		471908.0	https://imslp.org/wiki/Category:Jarre%2C_Jean-Michel	False
Igor Stravinsky	1882	1971.0	Russian	The Rite of Spring;The Firebird;Petrushka;Pulcinella;The Soldier's Tale;Symphony of Psalms;Symphonies of Wind Instruments;Canticum Sacrum;Threni	neoclassicism,neotonality, laterserialism,polystylism	https://en.wikipedia.org/wiki/Igor_Stravinsky	2042.0	468684.0	https://imslp.org/wiki/Category:Stravinsky%2C_Igor	True
Maurice Ravel	1875	1937.0	French	Daphnis et Chloé;Valses nobles et sentimentales;Rapsodie espagnole;Tzigane;Piano Concerto;Bolero; piano music	impressionism,neoclassicism	https://en.wikipedia.org/wiki/Maurice_Ravel	2008.0	440499.0	https://imslp.org/wiki/Category:Ravel%2C_Maurice	True
Philip Glass	1937		American	Violin Concerto;operas; 8 symphonies	minimalism	https://en.wikipedia.org/wiki/Philip_Glass		440236.0	https://imslp.org/wiki/Category:Glass%2C_Philip	True
Władysław Szpilman	1911	2000.0	Polish			https://en.wikipedia.org/wiki/Władysław_Szpilman	2071.0	436149.0	https://imslp.org/wiki/Category:Szpilman%2C_W%C5%82adys%C5%82aw	False
André Previn	1929	2019.0	German/American	A Streetcar Named Desire		https://en.wikipedia.org/wiki/André_Previn	2090.0	424207.0	https://imslp.org/wiki/Category:Previn%2C_Andr%C3%A9	False
Vangelis	1943	2022.0	Greek		electronic music	https://en.wikipedia.org/wiki/Vangelis	2093.0	398920.0	https://imslp.org/wiki/Category:Vangelis	False
Laurie Anderson	1947		American			https://en.wikipedia.org/wiki/Laurie_Anderson		396915.0	https://imslp.org/wiki/Category:Anderson%2C_Laurie	False
Antonín Dvořák	1841	1904.0	Czech	"Armida(opera), ""Zpěv z Lešetínského kováře"" (song)"	Romanticism, folk-influenced	https://en.wikipedia.org/wiki/Antonín_Dvořák	1975.0	387507.0	https://imslp.org/wiki/Category:Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn	True
Sergei Prokofiev	1891	1953.0	Russian	Romeo and Juliet;The Love for Three Oranges;Classical Symphony;Symphony No. 5andNo. 6;Violin Concerto No. 1andNo. 2;Piano Concerto No. 2andNo. 3;Alexander Nevsky;Lieutenant Kijé;Peter and the Wolf	neoclassicism,Romanticism	https://en.wikipedia.org/wiki/Sergei_Prokofiev	2024.0	363778.0	https://imslp.org/wiki/Category:Prokofiev%2C_Sergei	True
Dave Brubeck	1920	2012.0	American			https://en.wikipedia.org/wiki/Dave_Brubeck	2083.0	359098.0	https://imslp.org/wiki/Category:Brubeck%2C_Dave	False
Richard Strauss	1864	1949.0	German	An Alpine Symphony;Der Rosenkavalier;Oboe Concerto;Salome;Metamorphosen	Romanticism	https://en.wikipedia.org/wiki/Richard_Strauss	2020.0	351507.0	https://imslp.org/wiki/Category:Strauss%2C_Richard	True
Keith Jarrett	1945		American			https://en.wikipedia.org/wiki/Keith_Jarrett		349452.0	https://imslp.org/wiki/Category:Jarrett%2C_Keith	False
