composer_id	name_display	name_sort	name_aliases	birth_year	death_year	date_precision	wikipedia_url	wikidata_url	wikidata_qid	nationality_label_wiki	citizenship_qids	citizenship_iso	occupations	scope_class	scope_class_src	eu_pd_year	eu_pd_status	years_until_eu_pd	style_tags	style_tags_src	notable_works	notable_works_qids	imslp_category	imslp_url	imslp_match_status	imslp_match_method	imslp_works_count	work_categories_present	works_count_by_category	works_count_total	pageviews_enwiki	pageviews_window	schema_version	dump_date	legacy_notable_works_raw	legacy_remarks_raw
Q2599	Paul McCartney	McCartney, Paul	James McCartney|Ian Iachimoe|Paul Ramon|Macca	1942		day	https://en.wikipedia.org/wiki/Paul_McCartney	https://www.wikidata.org/wiki/Q2599	Q2599	English	Q145	GB	pianist|film_composer|composer	film_media	occupations		unknown_death				Liverpool Oratorio|Standing Stone|Ecce Cor Meum	Q252230|Q572093|Q2337979|Q507541|Q568484			not_found	exact_name	0			0	4172133.0	2025-01..2025-12	3	r008	Liverpool Oratorio;Standing Stone;Ecce Cor Meum	member ofThe BeatlesandWings
Q57244	Paul Hindemith	Hindemith, Paul		1895	1963.0	day	https://en.wikipedia.org/wiki/Paul_Hindemith	https://www.wikidata.org/wiki/Q57244	Q57244	German	Q183|Q713750|Q30	DE|US	classical_composer|conductor|musicologist|music_teacher|violinist|composer|pianist	classical_core	occupations	2034	not_pd	8			Symphonic Metamorphosis of Themes by Carl Maria von Weber|Mathis der Maler|Ludus Tonalis	Q3413816|Q3467686|Q864573|Q733434	Category:Hindemith,_Paul	https://imslp.org/wiki/Category:Hindemith,_Paul	matched	wikidata_p839	187	piano_solo|piano_ensemble|organ|keyboard_other|solo_instrument|guitar|chamber|orchestral|concerto|wind_band|solo_voice|choral|stage_opera|stage_ballet|electronic|pedagogical	"{""piano_solo"": 14, ""piano_ensemble"": 2, ""organ"": 3, ""keyboard_other"": 1, ""solo_instrument"": 17, ""guitar"": 1, ""chamber"": 45, ""orchestral"": 22, ""concerto"": 17, ""wind_band"": 1, ""solo_voice"": 22, ""choral"": 27, ""stage_opera"": 9, ""stage_ballet"": 2, ""electronic"": 1, ""pedagogical"": 3}"	187	2247605.0	2025-01..2025-12	3	r008	Symphonic Metamorphosis of Themes by Carl Maria von Weber;Mathis der Maler;Ludus Tonalis	neoclassicism,Expressionism
Q131285	John Williams	Williams, John		1932		day	https://en.wikipedia.org/wiki/John_Williams	https://www.wikidata.org/wiki/Q131285	Q131285	American	Q30	US	conductor|composer|film_composer|pianist	film_media	occupations		unknown_death				also composer of film scores,The Five Sacred Trees	Q2061394|Q4047980|Q6936088|Q3717101|Q48741603|Q17142824|Q6023281|Q3724830|Q5888198|Q17092870|Q3811376|Q1137740|Q7748781|Q110570670|Q3945916|Q4762349|Q7756353|Q4647188|Q115519603|Q5051659|Q1148607|Q6815278|Q6023272|Q18655103|Q115131335|Q4584721|Q30590368|Q110651445	Category:Williams,_John	https://imslp.org/wiki/Category:Williams,_John	unverified_heuristic	exact_name	0			0	1867046.0	2025-01..2025-12	3	r008	also composer of film scores,The Five Sacred Trees	
Q127330	Frank Zappa	Zappa, Frank		1940	1993.0	day	https://en.wikipedia.org/wiki/Frank_Zappa	https://www.wikidata.org/wiki/Q127330	Q127330	American	Q30	US	composer|songwriter	classical_core	occupations	2064	not_pd	38	avant_garde|electroacoustic	wikidata	Lumpy Gravy|200 Motels|London Symphony Orchestra , Vol. I|London Symphony Orchestra, Vol. II|The Perfect Stranger|The Yellow Shark				not_found	exact_name	0			0	1665902.0	2025-01..2025-12	3	r008	Lumpy Gravy;200 Motels;London Symphony Orchestra , Vol. I;London Symphony Orchestra, Vol. II;The Perfect Stranger;The Yellow Shark	
Q569003	Brian Eno	Eno, Brian	Brian Peter George Eno|Brian Peter George St. John le Baptiste de la Salle Eno	1948		day	https://en.wikipedia.org/wiki/Brian_Eno	https://www.wikidata.org/wiki/Q569003	Q569003	English	Q145	GB	composer|songwriter	classical_core	occupations		unknown_death					Q771427			not_found	exact_name	0			0	1259855.0	2025-01..2025-12	3	r008		ambient music,minimalism
Q23848	Ennio Morricone	Morricone, Ennio	Dan Savio|Leo Nichols	1928	2020.0	day	https://en.wikipedia.org/wiki/Ennio_Morricone	https://www.wikidata.org/wiki/Q23848	Q23848	Italian	Q38	IT	conductor|pianist|film_composer|composer	film_media	occupations	2091	not_pd	65				Q113481755|Q2123583			not_found	exact_name	0			0	684747.0	2025-01..2025-12	3	r008		also a composer of film music:Once Upon a Time in America;The Mission;The Good, the Bad and the Ugly;A Fistful of Dollars;Once Upon a Time in the West
Q152505	Leonard Bernstein	Bernstein, Leonard		1918	1990.0	day	https://en.wikipedia.org/wiki/Leonard_Bernstein	https://www.wikidata.org/wiki/Q152505	Q152505	American	Q30	US	conductor|pianist|composer|film_composer	film_media	occupations	2061	not_pd	35			West Side Story|Chichester Psalms|Candide|Serenade|Mass	Q163499|Q210455|Q223491|Q669010|Q1033015	Category:Bernstein,_Leonard	https://imslp.org/wiki/Category:Bernstein,_Leonard	matched	wikidata_p839	0			0	677446.0	2025-01..2025-12	3	r008	West Side Story;Chichester Psalms;Candide;Serenade;Mass	"jazz-influenced and pop-influence; also a composer of popular songs, under pseudonym ""Lenny Amber"""
Q2720141	Ilaiyaraaja	Ilaiyaraaja	Ilayaraja|Ilaya Raja|Raja	1943		day	https://en.wikipedia.org/wiki/Ilaiyaraaja	https://www.wikidata.org/wiki/Q2720141	Q2720141	Indian	Q129286|Q1775277|Q668	IN	composer|film_composer	film_media	occupations		unknown_death				How to Name It?|Nothing but wind|Thiruvasagam -An Oratorio|The Music Messiah|India 24 hours				not_found	exact_name	0			0	663243.0	2025-01..2025-12	3	r008	How to Name It?; Nothing but wind; Thiruvasagam -An Oratorio; The Music Messiah; India 24 hours;	Indian Classical (Carnatic), Western classical, Fusion, Jazz, Indian folk
Q4030	Duke Ellington	Ellington, Duke	"Duke Elington|Mood Ellington|Edward Kennedy ""Duke"" Ellington"	1899	1974.0	day	https://en.wikipedia.org/wiki/Duke_Ellington	https://www.wikidata.org/wiki/Q4030	Q4030	American	Q30	US	pianist|composer|jazz_musician|conductor|film_composer	film_media	occupations	2045	not_pd	19				Q6316371|Q730605|Q833563|Q879944|Q16466774|Q5277401	Category:Ellington,_Duke	https://imslp.org/wiki/Category:Ellington,_Duke	unverified_heuristic	exact_name	4	piano_solo|solo_voice	"{""piano_solo"": 1, ""solo_voice"": 3}"	4	623250.0	2025-01..2025-12	3	r008		
Q131861	Sergei Rachmaninoff	Rachmaninoff, Sergei	Rachmaninoff|Sergei Vasilyevich Rachmaninoff|Rach|Rachmaninov|Sergei Vasilievich Rachmaninoff	1873	1943.0	day	https://en.wikipedia.org/wiki/Sergei_Rachmaninoff	https://www.wikidata.org/wiki/Q131861	Q131861	Russian	Q34266|Q30	US	composer|pianist|conductor|musicologist	classical_core	occupations	2014	pd	0	late_romantic	wikidata	Piano Concerto No. 2|No. 3|Rhapsody on a Theme of Paganini|Symphony No. 2|Prelude in C-sharp minor	Q163575|Q969684|Q210224|Q2115452|Q57646378|Q5971215|Q162915|Q2663071|Q2311096|Q104806251|Q3063543|Q51237378	Category:Rachmaninoff,_Sergei	https://imslp.org/wiki/Category:Rachmaninoff,_Sergei	matched	wikidata_p839	80	piano_solo|piano_ensemble|solo_instrument|chamber|orchestral|concerto|solo_voice|choral|stage_opera	"{""piano_solo"": 22, ""piano_ensemble"": 4, ""solo_instrument"": 2, ""chamber"": 6, ""orchestral"": 11, ""concerto"": 5, ""solo_voice"": 19, ""choral"": 7, ""stage_opera"": 4}"	80	601738.0	2025-01..2025-12	3	r008	Piano Concerto No. 2andNo. 3;Rhapsody on a Theme of Paganini;Symphony No. 2;Prelude in C-sharp minor	Romanticism,post-romanticism
