work_id	composer_id	imslp_pageid	imslp_work_url	title	imslp_genre_categories	force_family	force_family_src	genre_form	has_files	fetched_at
6 Airs variés, Series I, Op.89 (Dancla, Charles)	Q1064049	11342	https://imslp.org/wiki/6_Airs_vari%C3%A9s%2C_Series_I%2C_Op.89_%28Dancla%2C_Charles%29	6 Airs variés, Series I, Op.89	For 2 players|For violin, piano|Variations	chamber	imslp_tags	variations		2026-09-24T16:50:22.186492+00:00
6 Airs variés, Series II, Op.118 (Dancla, Charles)	Q1064049	205768	https://imslp.org/wiki/6_Airs_vari%C3%A9s%2C_Series_II%2C_Op.118_%28Dancla%2C_Charles%29	6 Airs variés, Series II, Op.118	For 2 players|For violin, piano|Variations	chamber	imslp_tags	variations		2026-09-24T16:50:22.186492+00:00
Album du Jeune Violiniste, Op.159 (Dancla, Charles)	Q1064049	1623962	https://imslp.org/wiki/Album_du_Jeune_Violiniste%2C_Op.159_%28Dancla%2C_Charles%29	Album du Jeune Violiniste, Op.159		solo_instrument	title			2026-09-24T16:50:22.186492+00:00
Andante et petit rondeau, Op.154 (Dancla, Charles)	Q1064049	446282	https://imslp.org/wiki/Andante_et_petit_rondeau%2C_Op.154_%28Dancla%2C_Charles%29	Andante et petit rondeau, Op.154		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Andante mélodique, Op.214 (Dancla, Charles)	Q1064049	401362	https://imslp.org/wiki/Andante_m%C3%A9lodique%2C_Op.214_%28Dancla%2C_Charles%29	Andante mélodique, Op.214		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Andante religioso, Op.186 (Dancla, Charles)	Q1064049	858505	https://imslp.org/wiki/Andante_religioso%2C_Op.186_%28Dancla%2C_Charles%29	Andante religioso, Op.186		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Andantino et polonaise brillante, Op.112 (Dancla, Charles)	Q1064049	846530	https://imslp.org/wiki/Andantino_et_polonaise_brillante%2C_Op.112_%28Dancla%2C_Charles%29	Andantino et polonaise brillante, Op.112		piano_solo	title			2026-09-24T16:50:22.186492+00:00
Ave Maria (Dancla, Charles)	Q1064049	421276	https://imslp.org/wiki/Ave_Maria_%28Dancla%2C_Charles%29	Ave Maria		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Les bagneraises, Op.16 (Dancla, Charles)	Q1064049	954685	https://imslp.org/wiki/Les_bagneraises%2C_Op.16_%28Dancla%2C_Charles%29	Les bagneraises, Op.16		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Le carnaval de Venise, Op.119 (Dancla, Charles)	Q1064049	429944	https://imslp.org/wiki/Le_carnaval_de_Venise%2C_Op.119_%28Dancla%2C_Charles%29	Le carnaval de Venise, Op.119		unclassified	empty			2026-09-24T16:50:22.186492+00:00
La charmille, Op.135 (Dancla, Charles)	Q1064049	96812	https://imslp.org/wiki/La_charmille%2C_Op.135_%28Dancla%2C_Charles%29	La charmille, Op.135	For 2 players|For violin, piano|Pieces	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
3 Concert Solos, Op.77 (Dancla, Charles)	Q1064049	97107	https://imslp.org/wiki/3_Concert_Solos%2C_Op.77_%28Dancla%2C_Charles%29	3 Concert Solos, Op.77	For 2 players|For strings with soloists (arr)|For violin, piano|For violin, strings (arr)|Pieces	concerto	imslp_tags	arrangement		2026-09-24T16:50:22.186492+00:00
3 Duos brillants, Op.64 (Dancla, Charles)	Q1064049	727680	https://imslp.org/wiki/3_Duos_brillants%2C_Op.64_%28Dancla%2C_Charles%29	3 Duos brillants, Op.64		chamber	title			2026-09-24T16:50:22.186492+00:00
3 Duos faciles, Op.117 (Dancla, Charles)	Q1064049	675819	https://imslp.org/wiki/3_Duos_faciles%2C_Op.117_%28Dancla%2C_Charles%29	3 Duos faciles, Op.117		chamber	title			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.15 (Dancla, Charles)	Q1064049	215634	https://imslp.org/wiki/3_Duos%2C_Op.15_%28Dancla%2C_Charles%29	3 Duos, Op.15	Duets|For 2 players|For 2 violins	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.23 (Dancla, Charles)	Q1064049	215637	https://imslp.org/wiki/3_Duos%2C_Op.23_%28Dancla%2C_Charles%29	3 Duos, Op.23	Duets|For 2 players|For 2 violins	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.24 (Dancla, Charles)	Q1064049	215640	https://imslp.org/wiki/3_Duos%2C_Op.24_%28Dancla%2C_Charles%29	3 Duos, Op.24		chamber	title			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.25 (Dancla, Charles)	Q1064049	215644	https://imslp.org/wiki/3_Duos%2C_Op.25_%28Dancla%2C_Charles%29	3 Duos, Op.25		chamber	title			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.32 (Dancla, Charles)	Q1064049	215650	https://imslp.org/wiki/3_Duos%2C_Op.32_%28Dancla%2C_Charles%29	3 Duos, Op.32		chamber	title			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.33 (Dancla, Charles)	Q1064049	215653	https://imslp.org/wiki/3_Duos%2C_Op.33_%28Dancla%2C_Charles%29	3 Duos, Op.33		chamber	title			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.34 (Dancla, Charles)	Q1064049	215656	https://imslp.org/wiki/3_Duos%2C_Op.34_%28Dancla%2C_Charles%29	3 Duos, Op.34	Duets|For 2 players|For 2 violins	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.35 (Dancla, Charles)	Q1064049	215659	https://imslp.org/wiki/3_Duos%2C_Op.35_%28Dancla%2C_Charles%29	3 Duos, Op.35	Duets|For 2 players|For 2 violins	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.60 (Dancla, Charles)	Q1064049	215664	https://imslp.org/wiki/3_Duos%2C_Op.60_%28Dancla%2C_Charles%29	3 Duos, Op.60	Duets|For 2 players|For 2 violins	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.61 (Dancla, Charles)	Q1064049	215668	https://imslp.org/wiki/3_Duos%2C_Op.61_%28Dancla%2C_Charles%29	3 Duos, Op.61	Duets|For 2 players|For 2 violins	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.62 (Dancla, Charles)	Q1064049	215670	https://imslp.org/wiki/3_Duos%2C_Op.62_%28Dancla%2C_Charles%29	3 Duos, Op.62	Duets|For 2 players|For 2 violins	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
6 Duos, Op.108 (Dancla, Charles)	Q1064049	1166751	https://imslp.org/wiki/6_Duos%2C_Op.108_%28Dancla%2C_Charles%29	6 Duos, Op.108		chamber	title			2026-09-24T16:50:22.186492+00:00
3 Duos, Op.124 (Dancla, Charles)	Q1064049	300162	https://imslp.org/wiki/3_Duos%2C_Op.124_%28Dancla%2C_Charles%29	3 Duos, Op.124		chamber	title			2026-09-24T16:50:22.186492+00:00
École de l'accompagnement, Op.175 (Dancla, Charles)	Q1064049	448808	https://imslp.org/wiki/%C3%89cole_de_l%27accompagnement%2C_Op.175_%28Dancla%2C_Charles%29	École de l'accompagnement, Op.175		pedagogical	title			2026-09-24T16:50:22.186492+00:00
L'école des cinq positions, Op.193 (Dancla, Charles)	Q1064049	200067	https://imslp.org/wiki/L%27%C3%A9cole_des_cinq_positions%2C_Op.193_%28Dancla%2C_Charles%29	L'école des cinq positions, Op.193	For 1 player|For violin	solo_instrument	imslp_tags			2026-09-24T16:50:22.186492+00:00
École du mécanisme, Op.74 (Dancla, Charles)	Q1064049	401393	https://imslp.org/wiki/%C3%89cole_du_m%C3%A9canisme%2C_Op.74_%28Dancla%2C_Charles%29	École du mécanisme, Op.74		pedagogical	title			2026-09-24T16:50:22.186492+00:00
20 Études brillantes et caractéristiques, Op.73 (Dancla, Charles)	Q1064049	505788	https://imslp.org/wiki/20_%C3%89tudes_brillantes_et_caract%C3%A9ristiques%2C_Op.73_%28Dancla%2C_Charles%29	20 Études brillantes et caractéristiques, Op.73		pedagogical	title			2026-09-24T16:50:22.186492+00:00
36 Études mélodiques, Op.84 (Dancla, Charles)	Q1064049	941541	https://imslp.org/wiki/36_%C3%89tudes_m%C3%A9lodiques%2C_Op.84_%28Dancla%2C_Charles%29	36 Études mélodiques, Op.84		pedagogical	title			2026-09-24T16:50:22.186492+00:00
Fantaisie brillante sur 'Robert le diable', Op.147 (Dancla, Charles)	Q1064049	566643	https://imslp.org/wiki/Fantaisie_brillante_sur_%27Robert_le_diable%27%2C_Op.147_%28Dancla%2C_Charles%29	Fantaisie brillante sur 'Robert le diable', Op.147		piano_solo	title			2026-09-24T16:50:22.186492+00:00
Fantaisie-caprice sur 'Faust', Op.133 (Dancla, Charles)	Q1064049	497476	https://imslp.org/wiki/Fantaisie-caprice_sur_%27Faust%27%2C_Op.133_%28Dancla%2C_Charles%29	Fantaisie-caprice sur 'Faust', Op.133		piano_solo	title			2026-09-24T16:50:22.186492+00:00
La fille aux oiseaux (Dancla, Charles)	Q1064049	741146	https://imslp.org/wiki/La_fille_aux_oiseaux_%28Dancla%2C_Charles%29	La fille aux oiseaux		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Hommage à l'amitié, Op.66 (Dancla, Charles)	Q1064049	299096	https://imslp.org/wiki/Hommage_%C3%A0_l%27amiti%C3%A9%2C_Op.66_%28Dancla%2C_Charles%29	Hommage à l'amitié, Op.66	For 2 players|For violin, piano	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
Impromptu, Op.184 (Dancla, Charles)	Q1064049	858618	https://imslp.org/wiki/Impromptu%2C_Op.184_%28Dancla%2C_Charles%29	Impromptu, Op.184		piano_solo	title			2026-09-24T16:50:22.186492+00:00
Introduction et Rondeau-Caprice, Op.182 (Dancla, Charles)	Q1064049	858440	https://imslp.org/wiki/Introduction_et_Rondeau-Caprice%2C_Op.182_%28Dancla%2C_Charles%29	Introduction et Rondeau-Caprice, Op.182		piano_solo	title			2026-09-24T16:50:22.186492+00:00
Le mélodiste, Op.86 (Dancla, Charles)	Q1064049	240835	https://imslp.org/wiki/Le_m%C3%A9lodiste%2C_Op.86_%28Dancla%2C_Charles%29	Le mélodiste, Op.86	For 2 players|For violin, piano	chamber	imslp_tags			2026-09-24T16:50:22.186492+00:00
Méthode élémentaire et progressive (Dancla, Charles)	Q1064049	485174	https://imslp.org/wiki/M%C3%A9thode_%C3%A9l%C3%A9mentaire_et_progressive_%28Dancla%2C_Charles%29	Méthode élémentaire et progressive		unclassified	empty			2026-09-24T16:50:22.186492+00:00
3 Morceaux de différents caractères, Op.148 (Dancla, Charles)	Q1064049	448168	https://imslp.org/wiki/3_Morceaux_de_diff%C3%A9rents_caract%C3%A8res%2C_Op.148_%28Dancla%2C_Charles%29	3 Morceaux de différents caractères, Op.148		other	title			2026-09-24T16:50:22.186492+00:00
Nouvelle école de la mélodie (Dancla, Charles)	Q1064049	793368	https://imslp.org/wiki/Nouvelle_%C3%A9cole_de_la_m%C3%A9lodie_%28Dancla%2C_Charles%29	Nouvelle école de la mélodie		solo_voice	title			2026-09-24T16:50:22.186492+00:00
12 Original Duos, Op.187 (Dancla, Charles)	Q1064049	555574	https://imslp.org/wiki/12_Original_Duos%2C_Op.187_%28Dancla%2C_Charles%29	12 Original Duos, Op.187		chamber	title			2026-09-24T16:50:22.186492+00:00
Les perles d’Italie, de France et d’Allemagne, Op.107bis (Dancla, Charles)	Q1064049	299498	https://imslp.org/wiki/Les_perles_d%E2%80%99Italie%2C_de_France_et_d%E2%80%99Allemagne%2C_Op.107bis_%28Dancla%2C_Charles%29	Les perles d’Italie, de France et d’Allemagne, Op.107bis		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Petite école de la mélodie, Op.123 (Dancla, Charles)	Q1064049	59810	https://imslp.org/wiki/Petite_%C3%A9cole_de_la_m%C3%A9lodie%2C_Op.123_%28Dancla%2C_Charles%29	Petite école de la mélodie, Op.123	For 1 player (arr)|For 2 players|For 3 players (arr)|For 3 violins (arr)|For cello (arr)|For orchestra (arr)|For violin, piano|For violin or cello and piano (arr)|Suites	orchestral	imslp_tags	suite		2026-09-24T16:50:22.186492+00:00
Petite école de la mélodie, Op.129 (Dancla, Charles)	Q1064049	934236	https://imslp.org/wiki/Petite_%C3%A9cole_de_la_m%C3%A9lodie%2C_Op.129_%28Dancla%2C_Charles%29	Petite école de la mélodie, Op.129		solo_voice	title			2026-09-24T16:50:22.186492+00:00
3 Petites Bluettes, Op.189 (Dancla, Charles)	Q1064049	1090856	https://imslp.org/wiki/3_Petites_Bluettes%2C_Op.189_%28Dancla%2C_Charles%29	3 Petites Bluettes, Op.189		unclassified	empty			2026-09-24T16:50:22.186492+00:00
6 Petites fantaisies faciles, Op.126 (Dancla, Charles)	Q1064049	139030	https://imslp.org/wiki/6_Petites_fantaisies_faciles%2C_Op.126_%28Dancla%2C_Charles%29	6 Petites fantaisies faciles, Op.126		unclassified	empty			2026-09-24T16:50:22.186492+00:00
Petites pièces mignonnes, Op.149 (Dancla, Charles)	Q1064049	515965	https://imslp.org/wiki/Petites_pi%C3%A8ces_mignonnes%2C_Op.149_%28Dancla%2C_Charles%29	Petites pièces mignonnes, Op.149		other	title			2026-09-24T16:50:22.186492+00:00
6 Petites pièces, Op.163 (Dancla, Charles)	Q1064049	299176	https://imslp.org/wiki/6_Petites_pi%C3%A8ces%2C_Op.163_%28Dancla%2C_Charles%29	6 Petites pièces, Op.163		other	title			2026-09-24T16:50:22.186492+00:00
